period,flow,code,description,unit,quantity_mo_reported,quantity_ytd_reported,quantity_mo_grams,quantity_ytd_grams,value_mo_usd,value_ytd_usd,source_url,quantity_suppressed
1995-04,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,8880557,73290943,8880557,73290943,,,https://dataweb.usitc.gov/,False
1995-04,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,124376811,853154469,124376811,853154469,,,https://dataweb.usitc.gov/,False
1995-05,general_import,7106,"Silver, unwrought/semimanufactured/powder",component grams,298146844,1152432650,298146844,1152432650,,,https://dataweb.usitc.gov/,False
1995-05,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,12202589,85493532,12202589,85493532,,,https://dataweb.usitc.gov/,False
1995-05,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,130993195,984147664,130993195,984147664,,,https://dataweb.usitc.gov/,False
1995-06,general_import,7106,"Silver, unwrought/semimanufactured/powder",component grams,278110452,1430543102,278110452,1430543102,,,https://dataweb.usitc.gov/,False
1995-06,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,3419029,88912561,3419029,88912561,,,https://dataweb.usitc.gov/,False
1995-06,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,53227859,1037375523,53227859,1037375523,,,https://dataweb.usitc.gov/,False
1995-07,general_import,7106,"Silver, unwrought/semimanufactured/powder",component grams,280688743,1711231845,280688743,1711231845,,,https://dataweb.usitc.gov/,False
1995-07,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,3659761,92572322,3659761,92572322,,,https://dataweb.usitc.gov/,False
1995-07,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,150564055,1187939578,150564055,1187939578,,,https://dataweb.usitc.gov/,False
1995-08,general_import,7106,"Silver, unwrought/semimanufactured/powder",component grams,282886846,1994118691,282886846,1994118691,,,https://dataweb.usitc.gov/,False
1995-08,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,16477001,109049323,16477001,109049323,,,https://dataweb.usitc.gov/,False
1995-08,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,814778843,2002718421,814778843,2002718421,,,https://dataweb.usitc.gov/,False
1995-09,general_import,7106,"Silver, unwrought/semimanufactured/powder",component grams,251130831,2245249522,251130831,2245249522,,,https://dataweb.usitc.gov/,False
1995-09,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,7988696,117038019,7988696,117038019,,,https://dataweb.usitc.gov/,False
1995-09,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,1063547072,3066265493,1063547072,3066265493,,,https://dataweb.usitc.gov/,False
