period_type,period,flow,import_tonnes,export_tonnes,net_import_tonnes,source,notes,confidence,series
month,2023-01,both,295.294,252.109,43.185,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2023-02,both,277.951,176.543,101.408,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2023-03,both,361.683,291.701,69.982,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2023-04,both,375.795,311.153,64.642,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2023-05,both,476.662,293.487,183.175,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2023-06,both,405.275,253.541,151.734,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2023-07,both,390.912,198.329,192.583,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2023-08,both,436.192,79.035,357.157,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2023-09,both,437.443,130.224,307.219,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2023-10,both,249.229,1341.25,-1092.021,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2023-11,both,127.568,276.926,-149.358,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2023-12,both,264.202,68.897,195.305,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2024-01,both,242.501,387.078,-144.577,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2024-02,both,240.726,1361.697,-1120.971,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2024-03,both,186.594,131.46,55.134,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2024-04,both,145.838,2.174,143.664,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2024-05,both,500.257,19.208,481.049,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2024-06,both,539.757,25.321,514.436,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2024-07,both,745.937,126.095,619.842,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2024-08,both,224.827,879.483,-654.656,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2024-09,both,424.964,310.772,114.192,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2024-10,both,378.365,3.115,375.25,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2024-11,both,399.091,238.788,160.303,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2024-12,both,474.099,650.311,-176.212,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2025-01,both,363.826,2457.002,-2093.176,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2025-02,both,158.509,1658.552,-1500.043,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2025-03,both,234.891,766.893,-532.002,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2025-04,both,641.114,297.359,343.755,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2025-05,both,704.319,241.367,462.952,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2025-06,both,589.351,1.225,588.126,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2025-07,both,512.084,98.896,413.188,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2025-08,both,395.328,25.774,369.554,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2025-09,both,896.804,609.935,286.869,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2025-10,both,2199.514,643.215,1556.299,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2025-11,both,795.906,100.151,695.755,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2025-12,both,1002.297,159.467,842.83,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2026-01,both,1309.557,1115.33,194.227,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2026-02,both,1197.406,1800.407,-603.001,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2026-03,both,868.965,697.837,171.128,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2026-04,both,337.93,492.669,-154.739,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2026-05,both,210.142,36.747,173.395,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
