date,open,high,low,close,change,change_pct,avg_price,volume_kg,turnover_yuan,open_interest
2026-06-01,18302.00,18449.00,18005.00,18162.00,-96,-0.53%,18193.00,272402,4955991130,2857534
2026-06-02,18199.00,18480.00,17800.00,18426.00,233,1.28%,18215.00,399486,7276950150,2900380
2026-06-03,18370.00,18420.00,17867.00,17910.00,-305,-1.67%,18020.00,258584,4659862570,2867976
2026-06-04,18000.00,18013.00,17606.00,17672.00,-348,-1.93%,17741.00,401050,7115207598,2865202
2026-06-05,17980.00,18172.00,17150.00,17520.00,-221,-1.25%,17560.00,459912,8076138032,2875070
2026-06-08,17583.00,17755.00,15930.00,16200.00,-1360,-7.74%,16336.00,616196,10066409868,2995170
2026-06-09,16417.00,16599.00,16183.00,16401.00,65,0.40%,16345.00,232710,3803866594,3015554
2026-06-10,16500.00,16519.00,15180.00,15503.00,-842,-5.15%,15537.00,551302,8565753050,3023754
2026-06-11,15321.00,15789.00,15060.00,15433.00,-104,-0.67%,15326.00,472886,7247786564,2986364
2026-06-12,15236.00,16150.00,15087.00,15800.00,474,3.09%,15854.00,323470,5128551946,2972464
2026-06-15,16032.00,17000.00,15847.00,16869.00,1015,6.40%,16736.00,280886,4700972618,2897840
2026-06-16,17000.00,17083.00,16507.00,16658.00,-78,-0.47%,16692.00,244924,4088465696,2834550
2026-06-17,16830.00,17002.00,16601.00,16775.00,83,0.50%,16781.00,245300,4116478122,2801454
2026-06-18,16693.00,17185.00,16322.00,16422.00,-359,-2.14%,16584.00,297788,4938772342,2738398
2026-06-22,16050.00,16151.00,15701.00,15991.00,-593,-3.58%,15905.00,470506,7483744916,2731950
2026-06-23,15989.00,16078.00,14928.00,15033.00,-872,-5.48%,15247.00,381622,5818934518,2730578
2026-06-24,15000.00,15010.00,14582.00,14906.00,-341,-2.24%,14825.00,367348,5446200152,2764350
2026-06-25,14449.00,14449.00,13535.00,13813.00,-1012,-6.83%,13923.00,329402,4586388624,2784980
2026-06-26,13820.00,14324.00,13485.00,14104.00,181,1.30%,13873.00,423318,5872871372,2768572
2026-06-29,14110.00,14414.00,13986.00,14223.00,350,2.52%,14199.00,416990,5921013068,2707226
2026-06-30,14157.00,14489.00,13710.00,14343.00,144,1.01%,14024.00,413374,5797318522,2677298
2026-07-01,14361.00,14700.00,13953.00,13970.00,-54,-0.39%,14134.00,291024,4113492158,2687496
2026-07-02,14330.00,14852.00,14199.00,14551.00,417,2.95%,14578.00,277238,4041688112,2698000
2026-07-03,14588.00,15286.00,14400.00,15267.00,689,4.73%,15093.00,331304,5000475944,2628730
2026-07-06,15200.00,15387.00,15005.00,15081.00,-12,-0.08%,15121.00,226948,3431897650,2657222
2026-07-07,15150.00,15170.00,14636.00,14857.00,-264,-1.75%,14864.00,288858,4293650812,2653178
2026-07-08,14945.00,15041.00,14541.00,14818.00,-46,-0.31%,14754.00,274880,4055603096,2672234
2026-07-09,14420.00,14450.00,13985.00,14430.00,-324,-2.20%,14232.00,358056,5096113272,2668488
2026-07-10,14406.00,14782.00,14351.00,14628.00,396,2.78%,14636.00,210838,3085971756,2682752
2026-07-13,14490.00,14622.00,14054.00,14160.00,-476,-3.25%,14216.00,387974,5515568298,2782868
2026-07-14,14240.00,14273.00,13832.00,14180.00,-36,-0.25%,14061.00,373820,5256300418,2851676
2026-07-15,14170.00,14536.00,14100.00,14163.00,102,0.73%,14280.00,443888,6338744280,2935644
2026-07-16,14160.00,14335.00,13771.00,13821.00,-459,-3.21%,13911.00,409044,5690597994,2988278
2026-07-17,13805.00,13830.00,13282.00,13471.00,-440,-3.16%,13479.00,487616,6572615642,3036592
2026-07-20,13466.00,13922.00,13345.00,13714.00,235,1.74%,13723.00,295600,4056530438,3024454
2026-07-21,13866.00,14383.00,13689.00,14348.00,625,4.55%,14052.00,352044,4947074542,3022188
2026-07-22,14350.00,14625.00,14184.00,14474.00,422,3.00%,14494.00,355736,5156210730,2977282
2026-07-23,14488.00,14870.00,14384.00,14494.00,0,0.00%,14617.00,390902,5714093674,3008444
